acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,valence,year
0.991,['Mamie Smith'],0.598,168333,0.224,0,0cS0A1fUEUd1EW3FcF8AEI,0.000522,5,0.379,-12.628,0,Keep A Song In Your Soul,12,1920,0.0936,149.976,0.634,1920
0.643,"[""Screamin' Jay Hawkins""]",0.852,150200,0.517,0,0hbkKFIJm7Z05H8Zl9w30f,0.0264,5,0.0809,-7.261,0,I Put A Spell On You,7,1920-01-05,0.0534,86.889,0.95,1920
0.993,['Mamie Smith'],0.647,163827,0.186,0,11m7laMUgmOKqI3oYzuhne,1.76E-05,0,0.519,-12.098,1,Golfing Papa,4,1920,0.174,97.6,0.689,1920
0.000173,['Oscar Velazquez'],0.73,422087,0.798,0,19Lc5SfJJ5O1oaxY0fpwfh,0.801,2,0.128,-7.311,1,True House Music - Xavier Santos & Carlos Gomix Remix,17,1920-01-01,0.0425,127.997,0.0422,1920
0.295,['Mixe'],0.704,165224,0.707,1,2hJjbsLCytGsnAHfdsLejp,0.000246,10,0.402,-6.036,0,Xuniverxe,2,1920-10-01,0.0768,122.076,0.299,1920
0.996,['Mamie Smith & Her Jazz Hounds'],0.424,198627,0.245,0,3HnrHGLE9u2MjHtdobfWl9,0.799,5,0.235,-11.47,1,Crazy Blues - 78rpm Version,9,1920,0.0397,103.87,0.477,1920
0.992,['Mamie Smith'],0.782,195200,0.0573,0,5DlCyqLyX2AOVDTjjkDZ8x,1.61E-06,5,0.176,-12.453,1,Don't You Advertise Your Man,5,1920,0.0592,85.652,0.487,1920
0.996,['Mamie Smith & Her Jazz Hounds'],0.474,186173,0.239,0,02FzJbHtqElixxCmrpSCUa,0.186,9,0.195,-9.712,1,Arkansas Blues,0,1920,0.0289,78.784,0.366,1920
0.996,['Francisco Canaro'],0.469,146840,0.238,0,02i59gYdjlhBmbbWhf8YuK,0.96,8,0.149,-18.717,1,La Chacarera - Remasterizado,0,1920-07-08,0.0741,130.06,0.621,1920
0.00682,['Meetya'],0.571,476304,0.753,0,06NUxS2XL3efRh0bloxkHm,0.873,8,0.092,-6.943,1,Broken Puppet - Original Mix,0,1920-01-01,0.0446,126.993,0.119,1920
0.952,['Dorville'],0.688,150067,0.22,0,07jrRR1CUUoPb1FLfSy9Jh,0,6,0.262,-15.208,0,Oouin,0,1920,0.845,82.024,0.414,1920
0.996,['Francisco Canaro'],0.579,167213,0.356,0,0ANuF7SvPeIHanGcCpy9jR,0.948,10,0.174,-14.574,1,Desengaño - Remasterizado,0,1920-07-08,0.0394,131.494,0.703,1920
0.992,['Ka Koula'],0.353,285707,0.396,0,0BEO6nHi1rmTOPiEZvCIDW,0.924,1,0.312,-14.053,1,Ta oula sou,0,1920-01-01,0.0447,111.268,0.566,1920
0.00478,['Justrock'],0.643,304078,0.998,0,0DH1IROKoPK5XTglUt9Pq0,0.476,1,0.105,-6.12,1,Schumacher,0,1920-01-01,0.0566,124.018,0.639,1920
0.993,['Takis Nikolaou'],0.453,255520,0.41,0,0HVjPaxbyfFcg8Rh0plyo5,0.16,2,0.292,-10.469,1,Mparmpaouzos,0,1920-01-01,0.044,67.271,0.894,1920
0.979,['Aggeliki Karagianni'],0.525,258167,0.433,0,0Hn7LWy1YcKhPaA2NItG9K,0.111,2,0.134,-11.426,1,To katinaki,0,1920-01-01,0.0488,102.578,0.792,1920
0.972,['Giorgos Katsaros'],0.528,277720,0.325,0,0I6DjrEfd3fKFESHEjnelr,0.0234,11,0.102,-12.508,1,Oli mera paizei zaria,0,1920-01-01,0.0421,118.562,0.146,1920
0.996,['Francisco Canaro'],0.468,177427,0.533,0,0KGiP9EW1xtojDHsTGARL5,0.87,1,0.179,-11.002,1,El Africano - Remasterizado,0,1920-07-08,0.0452,136.573,0.728,1920
0.75,['Giorgos Katsaros'],0.528,278813,0.456,0,0KNI2d7l3ByVHU0g2aW3P0,0.439,2,0.102,-12.151,1,Vre ti magkas pou eimai ego,0,1920-01-01,0.0371,112.817,0.493,1920
0.993,['Amalia Vaka'],0.397,258160,0.484,0,0LYNwxHYHPW256lO2phedM,0.179,5,0.327,-11.892,0,Thelo na se lismoniso,0,1920-01-01,0.0498,65.485,0.515,1920
0.0239,['Ron van der Kraan'],0.744,215773,0.428,0,0MwMyEO5AxYpghTU6gB85H,3.07E-05,9,0.106,-21.081,1,On a Ragga Trip,8,1920-01-03,0.0376,140.011,0.578,1920
0.939,"[""Vasílis Besíris 'Tourkovasílis'""]",0.465,208347,0.611,0,0OM9aSti0UOwN9yuz1m85y,0.886,2,0.145,-11.701,1,Sirtó prevezániko,0,1920-01-01,0.0469,93.128,0.803,1920
0.0808,['Tr0ma'],0.389,774360,0.81,0,0RdLX7r5HrPOGQabZIjCfi,0.918,1,0.332,-11.132,1,Big Rip,0,1920-01-01,0.109,161.322,0.071,1920
0.0105,['Ron van der Kraan'],0.763,324333,0.363,0,0Rfu6umKtRBny2reKydNph,0,10,0.0956,-21.045,0,Sweet Reggae Music,1,1920-01-03,0.169,88.007,0.447,1920
1.16E-05,['Oscar Velazquez'],0.568,386287,0.729,0,0TIfXVGqyiOTuWkuxEzQzc,0.912,2,0.0613,-8.293,1,True House Music - Original Massive Mix,3,1920-01-01,0.0312,129.987,0.175,1920
0.25,['Jodoli'],0.521,142445,0.776,0,0TT2zA8fatUuvTnPABz3lS,0.00088,1,0.175,-7.919,1,Taro Yard Slaughter House,0,1920-01-29,0.268,159.775,0.567,1920
0.959,['Athanasía Alexandropoúlou'],0.603,214773,0.372,0,0UYplqEm5qa4hkEo64C0TW,0.0129,8,0.174,-12.666,0,"I photoúla, beráti",0,1920-01-01,0.0741,118.351,0.901,1920
0.984,['Dick Haymes'],0.269,181200,0.255,0,0UztrUuVBPMn7cEys3LWQ4,0.00263,0,0.178,-9.041,1,Serenade of the Bells,0,1920,0.0536,79.186,0.154,1920
0.381,['ST'],0.936,166113,0.372,1,0XGoQAeP51ySJbtqXhuJrl,0,0,0.083,-11.634,1,Comme à l'époque,0,1920,0.455,133.047,0.222,1920
0.984,['Manolis Karapiperis'],0.58,267560,0.422,0,0YCVsd1quXrjZWIiROp1vw,0.788,8,0.347,-12.542,1,Aidiniko,0,1920-01-01,0.0385,110.562,0.668,1920
0.944,['Félix Mayol'],0.656,171200,0.292,0,0YHjhp3fj1IgLFtDsw8v3M,0,1,0.234,-13.597,1,Bou Dou Ba Da Bouh,0,1920,0.126,127.325,0.723,1920
0.0323,['Meetya'],0.697,489012,0.617,0,0Yt4hib6XmdB0YOkVl3QoL,0.902,11,0.149,-9.51,0,Day After - Original Mix,0,1920-01-01,0.0609,133.982,0.321,1920
0.996,['Maurice Chevalier'],0.613,178133,0.274,0,0Z6sMDs4BqsNshmprUBWGT,0.428,8,0.172,-14.884,1,Oh Maurice,0,1920,0.225,64.75,0.769,1920